t,T,x,xdot
16.617647058823557,200.0096928104575,0.01,0.0006653046856955684
43.82111000991072,200.01386901222332,0.03,0.0007988663953940581
68.03841448495213,200.015,0.05,0.0008476667692661327
91.16288587464899,200.016,0.07,0.0008814722072564187
113.48449524026651,200.017,0.09,0.0009092030963153229
135.21909878970806,200.018,0.11,0.0009311400437446273
156.47539329825196,200.018,0.13,0.0009493243936759612
177.37308416240882,200.0187081204625,0.15,0.0009644830575523809
197.99449160435307,200.019,0.17,0.0009755930517602381
218.3957362810891,200.019,0.19,0.0009830732854961004
238.69485217026576,200.019,0.21,0.000987113869545743
258.9429111134426,200.019,0.23,0.0009873272167113007
279.2509742995569,200.019,0.25,0.0009841074525457894
299.6281261615243,200.019,0.27,0.0009770555096946481
320.21156626505945,200.019,0.29,0.000966884393593023
341.01543836840733,200.018,0.31,0.0009535401690139294
362.1757721687138,200.018,0.33,0.0009372592458899117
383.7322304266942,200.017,0.35,0.0009178892862706349
405.79419440900017,200.01691175617677,0.37,0.000895746770380862
428.416785459728,200.016,0.39,0.0008711133356953529
451.7056741953338,200.015,0.41,0.0008445785022639407
475.79948805460606,200.014,0.43,0.0008160232489704116
500.8005327019813,200.013,0.45,0.0007853898853071163
526.7648693146721,200.012,0.47,0.0007536825227403494
553.8949756888151,200.011,0.49,0.0007206613806586035
582.3608538513646,200.01,0.51,0.0006870164446317221
612.1767523550993,200.00900000000001,0.53,0.0006532536110698646
643.6389772346814,200.00799999999998,0.55,0.0006193414152840281
676.86447975852,200.007,0.57,0.0005854641984199554
712.063593904795,200.00599999999997,0.59,0.0005511077649352937
749.4858606660273,200.005,0.61,0.0005168960789623129
789.5116739852167,200.00400000000002,0.63,0.00048304866620955765
832.3904325408154,200.003,0.65,0.0004498755766376316
878.5263354037227,200.002,0.67,0.00041709600374698145
928.3575691806786,200.00099999999998,0.69,0.0003852754683442841
982.5269803979096,200.0,0.71,0.00035415353687205924
1041.6089487956554,199.99900000000002,0.73,0.0003237797214249604
1106.4730014025176,199.998,0.75,0.0002937621434841493
1178.216027874557,199.99708710801394,0.77,0.0002646064918008854
1257.939147412943,199.997,0.79,0.00023745585975907502
1347.511225616479,199.99599999999998,0.81,0.00021059804883294349
1448.5849999999884,199.995,0.83,0.00018503339251489575
1565.1103214343261,199.99400000000003,0.85,0.00015976479322379335
1701.6539731882478,199.99400000000003,0.87,0.0001347126860057922
1866.0736370072955,199.993,0.89,0.00010929880893868489
2073.3770692826206,199.99200000000002,0.91,8.441981772162412e-05
2354.780359491411,199.99099999999999,0.93,5.900730945512501e-05
2782.602373887163,199.99099999999999,0.95,3.685598984596347e-05
3543.966527196512,199.99,0.97,1.826880523939456e-05
