t,T,x,xdot
32.257597281412785,190.00522575972812,0.01,0.0004205182032855309
74.8895400213942,190.00799999999998,0.03,0.0005016498058094344
113.77003576632642,190.00837700357664,0.05,0.0005266611298367385
150.9630662609868,190.00900000000001,0.07,0.0005481184505473692
186.70331473580526,190.01,0.09,0.0005686986897005207
221.32492740941044,190.01,0.11,0.0005850939228522707
255.15928788943486,190.011,0.13,0.0005976617766726143
288.3579165706377,190.011,0.15,0.0006079791355091877
321.03556445821766,190.011,0.17,0.0006157084554957763
353.39978974243365,190.011,0.19,0.0006203759035832897
385.5635778683916,190.011,0.21,0.0006226729131407558
417.63589494526747,190.011,0.23,0.0006221629769426118
449.8535667231308,190.011,0.25,0.0006185946537064183
482.3634353676656,190.011,0.27,0.0006124355517628174
515.2239611440893,190.011,0.29,0.0006041364156656459
548.6274894150841,190.011,0.31,0.0005925787697766945
582.7681772406833,190.01,0.33,0.0005791125018955554
617.7557510428267,190.01,0.35,0.0005643594848362607
653.7153947873547,190.00900000000001,0.37,0.0005478754584163744
690.8196286472129,190.0089180371353,0.39,0.0005296494703740139
729.3170020945247,190.00799999999998,0.41,0.0005100095255059145
769.3484633569716,190.007,0.43,0.0004895169489615217
811.1355219697703,190.00688644780303,0.45,0.00046768663561774613
854.9312777632582,190.00599999999997,0.47,0.0004455178086689924
901.0182404626817,190.005,0.49,0.0004224572410574289
949.7396559739624,190.0040260344026,0.51,0.000398703433509001
1001.3941404782734,190.00400000000002,0.53,0.00037490351267780104
1056.5978289647828,190.003,0.55,0.0003512254978945711
1115.496302616605,190.002,0.57,0.0003281961443325379
1178.7611022546064,190.002,0.59,0.0003052086675171056
1246.7844784972756,190.00099999999998,0.61,0.00028274090244242745
1320.6110108303187,190.0,0.63,0.0002598478777107393
1400.8399881691737,189.99900000000002,0.65,0.0002381915016384606
1488.656017039396,189.99900000000002,0.67,0.0002171617468466949
1585.6206200261222,189.998,0.69,0.00019634801006492654
1692.972972972962,189.998,0.71,0.00017669753417753643
1812.5777908862876,189.997,0.73,0.00015827368543809556
1946.4453642383965,189.99599999999998,0.75,0.00014070145646737583
2098.115507219185,189.99599999999998,0.77,0.00012323984192631136
2272.6907012530037,189.995,0.79,0.00010628537857906912
2476.6407666407426,189.995,0.81,8.975189867716907e-05
2724.3935999999703,189.99400000000003,0.83,7.2600685411657e-05
3036.330845771104,189.99400000000003,0.85,5.7042687784853356e-05
3443.232595790556,189.993,0.87,4.248794333387548e-05
3996.5559845559073,189.993,0.89,3.112287089487212e-05
4772.1661409042,189.993,0.91,2.2047201669695e-05
5974.999999999835,189.99200000000002,0.93,1.3271923076926369e-05
8389.999999999356,189.99200000000002,0.95,4.256853146861277e-06
