t,T,x,xdot
140.5263358778623,149.999,0.01,8.735479839943793e-05
358.1628586153573,149.999,0.03,9.676052834584552e-05
555.6902356902344,150.0,0.05,0.00010567635963363258
739.8429506246266,150.0,0.07,0.0001115830061610016
913.0426329676413,150.0,0.09,0.00011917081666655358
1077.9675616737063,150.0,0.11,0.0001227284822433033
1238.9009390292263,150.0,0.13,0.00012600589723859028
1396.225330225327,150.0,0.15,0.00012838992537894664
1549.7054559328467,150.0,0.17,0.00013122880523012569
1700.7605947955353,150.0,0.19,0.00013363472475975112
1849.785164971467,150.001,0.21,0.00013513848981003322
1997.5789473684165,150.001,0.23,0.00013516879892037822
2145.7347089167233,150.001,0.25,0.0001354534435277327
2293.0040307805007,150.001,0.27,0.0001353611706261252
2441.360852857314,150.001,0.29,0.00013460376815614482
2590.0576491140437,150.0,0.31,0.00013365022687860387
2740.375992939093,150.0,0.33,0.00013224432677355058
2892.8636828644426,150.0,0.35,0.00013009469537495792
3048.3312483711156,150.0,0.37,0.00012696346879208933
3207.553036437239,150.0,0.39,0.0001235284005549111
3371.614600550955,150.0,0.41,0.00011986075095519781
3541.945280833806,150.0,0.43,0.00011499706929434261
3718.832072617236,150.0,0.45,0.00011053165190835445
3903.8745073309037,150.0,0.47,0.00010584028001059907
4098.016485328046,150.0,0.49,0.0001003691595633739
4303.456410256396,149.999,0.51,9.446620620405295e-05
4521.8352633544855,149.999,0.53,8.856506198881506e-05
4757.129213483129,149.999,0.55,8.220689544537927e-05
5011.1198065508715,149.999,0.57,7.526370274263084e-05
5290.859130434758,149.999,0.59,6.758548896321132e-05
5607.3663253697105,149.998,0.61,5.8024331779332515e-05
5982.878644067762,149.998,0.63,4.913423406424142e-05
6423.831858407039,149.998,0.65,4.135954349485399e-05
6936.999999999954,149.998,0.67,3.635875291375341e-05
7548.445550027578,149.998,0.69,2.992746816294102e-05
8334.39808153468,149.997,0.71,2.1316080282628497e-05
9553.938255033398,149.997,0.73,1.2638853991647816e-05
