t,T,x,xdot,idx
0,288.15,0.001,0.0,15
2,288.15,0.0010013301034353572,3.990310306071845e-05,15
4,288.15,0.0010051712441579506,0.00011523422167780063,15
6,288.15,0.0010123141920957187,0.0002142884381330411,15
8,288.15,0.0010234067017046917,0.0003327752882691889,15
10,288.15,0.0010390128724825744,0.0004681851233364827,15
12,288.15,0.0010596398602392089,0.0006188096326990359,15
14,288.15,0.0010857527097011838,0.0007833854838592515,15
16,288.15,0.0011177836237624811,0.0009609274218389181,15
18,288.15,0.001156138220419773,0.0011506378997187573,15
20,288.15,0.0012011999936403488,0.001351853196617274,15
22,288.15,0.0012533336264524766,0.0015640089843638356,15
24,288.15,0.0013128875309957049,0.0017866171362968491,15
26,288.15,0.001380195845985193,0.002019249449684646,15
28,288.15,0.0014555800404335848,0.0022615258334517533,15
30,288.15,0.0015393502236711791,0.0025131054971278322,15
32,288.15,0.0016318062311639326,0.002773680224782603,15
34,288.15,0.0017332385357776002,0.0030429691384100312,15
36,288.15,0.0018439290208123577,0.0033207145510427256,15
38,288.15,0.0019641516419392656,0.0036066786338072323,15
40,288.15,0.0020941729986734127,0.0039006407020244147,15
42,288.15,0.0022342528313301184,0.004202394979701178,15
44,288.15,0.00238464445596351,0.004511748739001755,15
46,288.15,0.0025455951472101333,0.004828520737398696,15
48,288.15,0.0027173464770053938,0.005152539893857815,15
50,288.15,0.0029001346156375275,0.0054836441589640105,15
52,288.15,0.0030941906004339223,0.005821679543891847,15
54,288.15,0.003299740576453978,0.006166499280601679,15
56,288.15,0.0035170060128308107,0.006517963091304972,15
58,288.15,0.003746203897816854,0.006875936549581293,15
60,288.15,0.00398754691511316,0.007240290518889193,15
62,288.15,0.004241243603674512,0.007610900656840547,15
64,288.15,0.004507498502863881,0.00798764697568109,15
66,288.15,0.0047865122845662045,0.008370413451069713,15
68,288.15,0.005078481873651945,0.008759087672572234,15
70,288.15,0.005383600557997097,0.00915356053035456,15
72,288.15,0.005702058089111414,0.009553725933429508,15
74,288.15,0.006034040774295544,0.009959480555523925,15
76,288.15,0.006379731561136169,0.010370723605218755,15
78,288.15,0.006739310115052863,0.01078735661750083,15
80,288.15,0.007112952890528509,0.011209283264269369,15
82,288.15,0.007500833196584477,0.011636409181679052,15
84,288.15,0.007903121257000678,0.012068641812486021,15
86,288.15,0.008319984265727477,0.012505890261803973,15
88,288.15,0.00875158643789019,0.012948065164881385,15
90,288.15,0.009198089056746357,0.013395078565685033,15
