t,T,x,xdot
131.9125303713986,159.995,0.01,0.00011394813499586173
292.43588621444144,159.996,0.03,0.0001330032614072048
435.9793322734491,159.996,0.05,0.00014564878129775223
568.7132169576048,159.997,0.07,0.00015529380799167618
693.9595430747248,159.997,0.09,0.00016351651272731744
813.450904539764,159.997,0.11,0.00017174551721650403
927.9651035986896,159.997,0.13,0.00017775631610120193
1038.2644953842942,159.998,0.15,0.00018676188214233677
1144.5480122324136,159.998,0.17,0.00018951549240226346
1249.2161835748766,159.998,0.19,0.0001926965461095538
1352.3992827256398,159.998,0.21,0.0001946906764226016
1454.7768007113891,159.998,0.23,0.0001965108325853909
1556.2893566557927,159.998,0.25,0.00019745112516300823
1657.4813499111865,159.998,0.27,0.0001976276292712621
1758.9262222222183,159.998,0.29,0.00019690281482862872
1860.9943164821973,159.998,0.31,0.00019471124978820227
1964.7338856334568,159.998,0.33,0.0001913355392556531
2070.4119179081104,159.998,0.35,0.00018659399741766103
2179.1374800637905,159.998,0.37,0.00018200841307691138
2290.6806213506607,159.997,0.39,0.00017653188428038566
2405.9253850541863,159.997,0.41,0.00017067820385965136
2525.734727834554,159.997,0.43,0.00016344614302779946
2651.264299065413,159.997,0.45,0.00015528261405137008
2783.3479459246532,159.997,0.47,0.00014792594784049666
2922.3154426904507,159.996,0.49,0.00014015095971061736
3068.932688077421,159.996,0.51,0.00013293734688247757
3223.93678610545,159.996,0.53,0.00012424931229777978
3390.2099300233135,159.996,0.55,0.00011614389637020857
3569.608225108211,159.995,0.57,0.00010699814190018828
3763.949416342397,159.995,0.59,9.895847976925873e-05
3976.3878474466524,159.995,0.61,8.969586635084472e-05
4211.27491574384,159.994,0.63,8.057218972249165e-05
4473.363489499169,159.994,0.65,7.240150547352559e-05
4770.259449652225,159.994,0.67,6.303101672443148e-05
5112.034544800254,159.994,0.69,5.431777740311852e-05
5515.511894273085,159.993,0.71,4.530659127363215e-05
6015.22330097082,159.993,0.73,3.5031817880071046e-05
6664.557522123821,159.993,0.75,2.5949638419595555e-05
7625.99999999988,159.99200000000002,0.77,1.6383111888112943e-05
9145.021276595548,159.99200000000002,0.79,9.657118980312735e-06
