t,T,x,xdot,idx
0.0,338.15,0.001,0.00010877348659608937,65
2.0,338.15,0.0012175469731921787,0.00010877348659608937,65
4.0,338.15,0.0014350465723247526,0.00010874979956628703,65
6.0,338.15,0.0016524988077141218,0.00010872611769468453,65
8.0,338.15,0.0018699036896744389,0.00010870244098015859,65
10.0,338.15,0.002087261228517611,0.00010867876942158617,65
11.999999999999998,338.15,0.0023045714345533,0.00010865510301784451,65
13.999999999999998,338.15,0.002521834318088922,0.00010863144176781106,65
16.0,338.15,0.002739049889429649,0.00010860778567036352,65
18.0,338.15,0.0029562181588784087,0.00010858413472437986,65
20.0,338.15,0.003173339136735885,0.00010856048892873824,65
22.0,338.15,0.003390412833300519,0.0001085368482823171,65
23.999999999999996,338.15,0.003607439258868509,0.00010851321278399513,65
25.999999999999996,338.15,0.0038244184237338115,0.00010848958243265127,65
27.999999999999996,338.15,0.004041350338188141,0.00010846595722716469,65
29.999999999999996,338.15,0.00425823501252097,0.00010844233716641479,65
32.0,338.15,0.0044750724570195325,0.0001084187222492812,65
34.0,338.15,0.004691862681968821,0.00010839511247464388,65
36.0,338.15,0.004908605697651587,0.00010837150784138292,65
38.0,338.15,0.005125301514348344,0.00010834790834837876,65
40.0,338.15,0.005341950142337368,0.00010832431399451199,65
42.0,338.15,0.005558551591894696,0.00010830072477866352,65
44.0,338.15,0.0057751058732941245,0.00010827714069971446,65
46.0,338.15,0.005991612996807217,0.00010825356175654617,65
47.99999999999999,338.15,0.0062080729727032975,0.00010822998794804025,65
49.99999999999999,338.15,0.0064244858112494545,0.00010820641927307856,65
51.99999999999999,338.15,0.006640851522710541,0.0001081828557305432,65
53.99999999999999,338.15,0.006857170117349174,0.00010815929731931651,65
55.99999999999999,338.15,0.007073441605425736,0.00010813574403828107,65
57.99999999999999,338.15,0.007289665997198376,0.00010811219588631968,65
59.99999999999999,338.15,0.007505843302923007,0.00010808865286231546,65
61.99999999999999,338.15,0.00772197353285331,0.00010806511496515167,65
64.0,338.15,0.007938056697240735,0.0001080415821937119,65
66.0,338.15,0.008154092806334494,0.00010801805454687995,65
68.00000000000001,338.15,0.008370081870381574,0.00010799453202353982,65
70.00000000000001,338.15,0.008586023899626725,0.00010797101462257583,65
72.00000000000003,338.15,0.008801918904312471,0.00010794750234287249,65
74.00000000000003,338.15,0.0090177668946791,0.00010792399518331458,65
76.00000000000004,338.15,0.009233567880964674,0.00010790049314278711,65
78.00000000000004,338.15,0.009449321873405025,0.00010787699622017536,65
80.00000000000004,338.15,0.009665028882233756,0.00010785350441436477,65
82.00000000000006,338.15,0.009880688917682238,0.00010783001772424114,65
84.00000000000006,338.15,0.01009630198997962,0.00010780653614869042,65
86.00000000000007,338.15,0.010311868109352817,0.00010778305968659885,65
88.00000000000007,338.15,0.010527387286026523,0.00010775958833685289,65
90.00000000000009,338.15,0.0107428595302232,0.00010773612209833927,65
92.00000000000009,338.15,0.01095828485216309,0.0001077126609699449,65
94.00000000000009,338.15,0.011173663262064204,0.00010768920495055703,65
96.0000000000001,338.15,0.01138899477014233,0.00010766575403906308,65
98.0000000000001,338.15,0.011604279386611032,0.0001076423082343507,65
100.00000000000011,338.15,0.011819517121681647,0.00010761886753530787,65
102.00000000000011,338.15,0.012034707985563293,0.00010759543194082271,65
104.00000000000013,338.15,0.01224985198846286,0.00010757200144978363,65
106.00000000000013,338.15,0.012464949140585017,0.00010754857606107931,65
108.00000000000014,338.15,0.012679999452132214,0.00010752515577359861,65
110.00000000000014,338.15,0.012895002933304676,0.00010750174058623069,65
112.00000000000014,338.15,0.013109959594300405,0.00010747833049786488,65
114.00000000000016,338.15,0.013324869445315187,0.00010745492550739085,65
116.00000000000016,338.15,0.013539732496542584,0.00010743152561369843,65
118.00000000000017,338.15,0.013754548758173939,0.00010740813081567773,65
120.00000000000016,338.15,0.013969318240398376,0.00010738474111221909,65
122.00000000000016,338.15,0.014184040953402803,0.0001073613565022131,65
124.00000000000014,338.15,0.014398716907371904,0.00010733797698455058,65
126.00000000000014,338.15,0.014613346112488148,0.00010731460255812259,65
128.00000000000014,338.15,0.014827928578931789,0.00010729123322182045,65
130.0000000000001,338.15,0.01504246431688086,0.0001072678689745357,65
132.0000000000001,338.15,0.01525695333651118,0.00010724450981516015,65
134.0000000000001,338.15,0.015471395647996352,0.00010722115574258579,65
136.0000000000001,338.15,0.01568579126150776,0.00010719780675570495,65
138.00000000000009,338.15,0.01590014018721458,0.00010717446285341011,65
140.00000000000009,338.15,0.01611444243528377,0.00010715112403459404,65
142.00000000000009,338.15,0.01632869801588007,0.00010712779029814972,65
144.00000000000009,338.15,0.016542906939166012,0.00010710446164297042,65
146.00000000000006,338.15,0.01675706921530191,0.00010708113806794958,65
148.00000000000006,338.15,0.016971184854445872,0.00010705781957198096,65
150.00000000000006,338.15,0.017185253866753788,0.00010703450615395851,65
152.00000000000006,338.15,0.017399276262379342,0.00010701119781277641,65
154.00000000000003,338.15,0.017613252051474,0.00010698789454732913,65
156.00000000000003,338.15,0.017827181244187026,0.00010696459635651133,65
158.00000000000003,338.15,0.01804106385066546,0.00010694130323921795,65
160.00000000000003,338.15,0.018254899881054148,0.00010691801519434415,65
162.0,338.15,0.01846868934549572,0.00010689473222078536,65
164.0,338.15,0.018682432254130594,0.00010687145431743719,65
166.0,338.15,0.018896128617096986,0.00010684818148319554,65
