t,x_original,xdot_original,xdot_pred
318,0.916985826,0.000425893,0.000434874
320,0.917825782,0.000419978,0.000428917
322,0.918654117,0.000414167,0.000423062
324,0.919471034,0.000408458,0.00041731
326,0.920276733,0.000402849,0.000411657
328,0.921071408,0.000397338,0.000406101
330,0.921855251,0.000391922,0.000400641
332,0.922628449,0.000386599,0.000395274
334,0.923391186,0.000381368,0.000389998
336,0.92414364,0.000376227,0.000384812
338,0.924885987,0.000371174,0.000379713
340,0.9256184,0.000366206,0.0003747
342,0.926341046,0.000361323,0.000369771
344,0.927054091,0.000356523,0.000364925
346,0.927757697,0.000351803,0.000360159
348,0.928452022,0.000347162,0.000355473
350,0.929137221,0.000342599,0.000350863
352,0.929813445,0.000338112,0.00034633
354,0.930480845,0.0003337,0.000341872
356,0.931139566,0.00032936,0.000337486
358,0.93178975,0.000325092,0.000333171
360,0.932431539,0.000320894,0.000328927
362,0.933065069,0.000316765,0.000324752
364,0.933690476,0.000312703,0.000320643
366,0.934307891,0.000308707,0.000316602
368,0.934917444,0.000304776,0.000312624
370,0.935519261,0.000300909,0.00030871
372,0.936113467,0.000297103,0.000304858
374,0.936700184,0.000293359,0.000301068
376,0.937279532,0.000289674,0.000297337
378,0.937851628,0.000286048,0.000293665
380,0.938416587,0.000282479,0.000290051
382,0.938974522,0.000278967,0.000286493
384,0.939525543,0.000275511,0.000282991
386,0.94006976,0.000272108,0.000279543
388,0.940607278,0.000268759,0.000276149
390,0.941138202,0.000265462,0.000272806
392,0.941662635,0.000262217,0.000269516
394,0.942180678,0.000259021,0.000266275
396,0.942692428,0.000255875,0.000263085
398,0.943197983,0.000252778,0.000259942
400,0.943697438,0.000249728,0.000256848
402,0.944190887,0.000246724,0.0002538
404,0.94467842,0.000243767,0.000250798
406,0.945160128,0.000240854,0.000247842
408,0.945636098,0.000237985,0.000244929
410,0.946106419,0.00023516,0.00024206
412,0.946571173,0.000232377,0.000239234
414,0.947030446,0.000229636,0.00023645
416,0.947484319,0.000226936,0.000233707
418,0.947932872,0.000224277,0.000231004
420,0.948376185,0.000221656,0.000228342
422,0.948814335,0.000219075,0.000225718
424,0.949247398,0.000216532,0.000223132
426,0.94967545,0.000214026,0.000220584
428,0.950098563,0.000211557,0.000218073
430,0.95051681,0.000209124,0.000215599
432,0.950930262,0.000206726,0.00021316
434,0.951338989,0.000204363,0.000210756
436,0.951743059,0.000202035,0.000208386
438,0.952142539,0.00019974,0.000206051
440,0.952537495,0.000197478,0.000203749
442,0.952927993,0.000195249,0.000201479
